# Nikon maker-note lens identities.
# Key: LibRaw makernotes.LensID, the eight composite bytes as hex.
# One row per candidate name; a repeated key is ambiguous.
# Generated from ExifTool's published tag documentation; see nikon.provenance.json.
024044732B360200	Sigma 35-135mm F3.5-4.5 a
02405C822C350200	Sigma APO 70-210mm F3.5-4.5
0242445C2A340200	AF Zoom-Nikkor 35-70mm f/3.3-4.5
0242445C2A340800	AF Zoom-Nikkor 35-70mm f/3.3-4.5
0246373725250200	Sigma 24mm F2.8 Super Wide II Macro
02463C5C25250200	Sigma 28-70mm F2.8
02465C8225250200	Sigma 70-210mm F2.8 APO
0248505024240200	Sigma Macro 50mm F2.8
0248656524240200	Sigma Macro 90mm F2.8
02543C3C0C0C0000	Zeiss Otus 1.4/28 ZF.2
03435C8135350200	Soligor AF C/D Zoom UMCS 70-210mm 1:4.5
03485C8130300200	AF Zoom-Nikkor 70-210mm f/4
035468680C0C0000	Zeiss Otus 1.4/100
04483C3C24240300	AF Nikkor 28mm f/2.8
055450500C0C0400	AF Nikkor 50mm f/1.4
063F68682C2C0600	Cosina AF 100mm F3.5 Macro
0654535324240600	AF Micro-Nikkor 55mm f/2.8
07363D5F2C3C0300	Cosina AF Zoom 28-80mm F3.5-5.6 MC Macro
073E30432D350300	Soligor AF Zoom 19-35mm 1:3.5-4.5 MC
07402F442C340302	Tamron AF 19-35mm f/3.5-4.5 (A10)
074030452D350302	Tamron AF 19-35mm f/3.5-4.5 (A10)
074030452D350302	Voigtlander Ultragon 19-35mm F3.5-4.5 VMV
07403C5C2C350300	Tokina AF 270 II (AF 28-70mm f/3.5-4.5)
07403C622C340300	AF Zoom-Nikkor 28-85mm f/3.5-4.5
07462B4424300302	Tamron SP AF 17-35mm f/2.8-4 Di LD Aspherical (IF) (A05)
07463D6A252F0300	Cosina AF Zoom 28-105mm F2.8-3.8 MC
07473C5C25350300	Tokina AF 287 SD (AF 28-70mm f/2.8-4.5)
07483C5C24240300	Tokina AT-X 287 AF (AF 28-70mm f/2.8)
0840446A2C340400	AF Zoom-Nikkor 35-105mm f/3.5-4.5
0948373724240400	AF Nikkor 24mm f/2.8
0A488E8E24240300	AF Nikkor 300mm f/2.8 IF-ED
0A488E8E24240500	AF Nikkor 300mm f/2.8 IF-ED N
0B3E3D7F2F3D0E00	Tamron AF 28-200mm f/3.8-5.6 (71D)
0B3E3D7F2F3D0E02	Tamron AF 28-200mm f/3.8-5.6D (171D)
0B487C7C24240500	AF Nikkor 180mm f/2.8 IF-ED
0D4044722C340700	AF Zoom-Nikkor 35-135mm f/3.5-4.5
0E485C8130300500	AF Zoom-Nikkor 70-210mm f/4
0E4A3148232D0E02	Tamron SP AF 20-40mm f/2.7-3.5 (166D)
0F58505014140500	AF Nikkor 50mm f/1.8 N
103D3C602C3CD202	Tamron AF 28-80mm f/3.5-5.6 Aspherical (177D)
10488E8E30300800	AF Nikkor 300mm f/4 IF-ED
